customer_id,customer_fname,customer_lname,customer_street,customer_city,customer_state,customer_zipcode
1,Richard,Hernandez,6303 Heather Plaza,Brownsville,TX,78521
2,Mary,Barrett,9526 Noble Embers Ridge,Littleton,CO,80126
3,Ann,Smith,3422 Blue Pioneer Bend,Caguas,PR,00725
4,Mary,Jones,8324 Little Common,San Marcos,CA,92069
5,Robert,Hudson,10 Crystal River Mall ,Caguas,PR,00725
6,Mary,Smith,3151 Sleepy Quail Promenade,Passaic,NJ,07055
7,Melissa,Wilcox,9453 High Concession,Caguas,PR,00725
8,Megan,Smith,3047 Foggy Forest Plaza,Lawrence,MA,01841
9,Mary,Perez,3616 Quaking Street,Caguas,PR,00725
10,Melissa,Smith,8598 Harvest Beacon Plaza,Stafford,VA,22554
11,Mary,Huffman,3169 Stony Woods,Caguas,PR,00725
12,Christopher,Smith,5594 Jagged Embers By-pass,San Antonio,TX,78227
13,Mary,Baldwin,7922 Iron Oak Gardens,Caguas,PR,00725
14,Katherine,Smith,5666 Hazy Pony Square,Pico Rivera,CA,90660
15,Jane,Luna,673 Burning Glen,Fontana,CA,92336
16,Tiffany,Smith,6651 Iron Port,Caguas,PR,00725
17,Mary,Robinson,1325 Noble Pike,Taylor,MI,48180
18,Robert,Smith,2734 Hazy Butterfly Circle,Martinez,CA,94553
19,Stephanie,Mitchell,3543 Red Treasure Bay,Caguas,PR,00725
20,Mary,Ellis,4703 Old Route,West New York,NJ,07093
21,William,Zimmerman,3323 Old Willow Mall ,Caguas,PR,00725
22,Joseph,Smith,7740 Broad Fox Villas,North Bergen,NJ,07047
23,Benjamin,Duarte,8811 High Horse Impasse,San Juan,PR,00921
24,Mary,Smith,9417 Emerald Towers,Caguas,PR,00725
25,Paul,Richardson,318 Merry Creek Mountain,Peoria,AZ,85345
26,Johnny,Hood,9576 Middle Hills Round,Glenview,IL,60025
27,Mary,Vincent,1768 Sleepy Zephyr Place,Caguas,PR,00725
28,Timothy,Smith,9366 Colonial Horse Close,Longview,WA,98632
29,Mary,Humphrey,2469 Blue Brook Crossing,Fort Worth,TX,76133
30,Barbara,Smith,2455 Merry Hollow,Caguas,PR,00725
31,Mary,Byrd,8259 Foggy Edge,Albuquerque,NM,87111
32,Alice,Smith,2082 Hidden Green,Caguas,PR,00725
33,Adam,Petersen,9768 Noble Horse Heights,Norfolk,VA,23503
34,Mary,Smith,3330 Easy Berry Range,Caguas,PR,00725
